X,Y,Z,Label
0.0,0.0,499.706,CL
0.2,-0.24,499.695,CL
0.4,-0.48,499.684,CL
0.6,-0.72,499.674,CL
0.8,-0.96,499.665,CL
1.0,-1.2,499.656,CL
1.2,-1.44,499.647,CL
1.4,-1.68,499.639,CL
1.6,-1.92,499.631,CL
1.8,-2.159,499.623,CL
2.0,-2.399,499.616,CL
2.2,-2.638,499.61,CL
2.4,-2.877,499.618,CL
2.6,-3.116,499.598,CL
2.8,-3.355,499.592,CL
3.0,-3.593,499.587,CL
3.2,-3.831,499.583,CL
3.4,-4.069,499.579,CL
3.6,-4.307,499.575,CL
3.8,-4.545,499.571,CL
4.0,-4.782,499.568,CL
4.2,-5.019,499.566,CL
4.4,-5.255,499.564,CL
4.6,-5.492,499.562,CL
4.8,-5.728,499.56,CL
5.0,-5.963,499.559,CL
5.2,-6.198,499.558,CL
5.4,-6.433,499.558,CL
5.6,-6.667,499.558,CL
5.8,-6.901,499.558,CL
6.0,-7.135,499.558,CL
6.2,-7.368,499.559,CL
6.4,-7.6,499.56,CL
6.6,-7.832,499.562,CL
6.8,-8.064,499.564,CL
7.0,-8.295,499.566,CL
7.2,-8.525,499.568,CL
7.4,-8.755,499.571,CL
7.6,-8.985,499.574,CL
7.8,-9.213,499.577,CL
8.0,-9.442,499.581,CL
8.2,-9.669,499.584,CL
8.4,-9.896,499.588,CL
8.6,-10.123,499.593,CL
8.8,-10.348,499.597,CL
9.0,-10.573,499.602,CL
9.2,-10.798,499.607,CL
9.4,-11.021,499.612,CL
9.6,-11.244,499.617,CL
9.8,-11.467,499.622,CL
10.0,-11.688,499.628,CL
10.2,-11.909,499.634,CL
10.4,-12.129,499.639,CL
10.6,-12.348,499.645,CL
10.8,-12.567,499.652,CL
11.0,-12.784,499.658,CL
11.2,-13.001,499.664,CL
11.4,-13.217,499.671,CL
11.6,-13.432,499.677,CL
11.8,-13.646,499.684,CL
12.0,-13.86,499.69,CL
12.2,-14.072,499.697,CL
12.4,-14.284,499.703,CL
12.6,-14.495,499.71,CL
12.8,-14.704,499.716,CL
13.0,-14.913,499.723,CL
13.2,-15.121,499.73,CL
13.4,-15.328,499.736,CL
13.6,-15.534,499.742,CL
13.8,-15.739,499.749,CL
14.0,-15.943,499.755,CL
14.2,-16.146,499.761,CL
14.4,-16.348,499.767,CL
14.6,-16.548,499.773,CL
14.8,-16.748,499.778,CL
15.0,-16.947,499.784,CL
15.2,-17.144,499.789,CL
15.4,-17.341,499.794,CL
15.6,-17.536,499.799,CL
15.8,-17.731,499.804,CL
16.0,-17.924,499.808,CL
16.2,-18.116,499.813,CL
16.4,-18.306,499.817,CL
16.6,-18.496,499.821,CL
16.8,-18.685,499.824,CL
17.0,-18.872,499.828,CL
17.2,-19.058,499.831,CL
17.4,-19.243,499.834,CL
17.6,-19.426,499.836,CL
17.8,-19.609,499.838,CL
18.0,-19.79,499.84,CL
18.2,-19.97,499.842,CL
18.4,-20.148,499.844,CL
18.6,-20.325,499.845,CL
18.8,-20.501,499.846,CL
19.0,-20.676,499.846,CL
19.2,-20.849,499.847,CL
19.4,-21.021,499.847,CL
19.6,-21.192,499.847,CL
19.8,-21.361,499.846,CL
20.0,-21.529,499.846,CL
20.2,-21.696,499.845,CL
20.4,-21.861,499.843,CL
20.6,-22.025,499.842,CL
20.8,-22.187,499.84,CL
21.0,-22.348,499.838,CL
21.2,-22.507,499.836,CL
21.4,-22.665,499.834,CL
21.6,-22.822,499.831,CL
21.8,-22.977,499.828,CL
22.0,-23.131,499.825,CL
22.2,-23.283,499.822,CL
22.4,-23.434,499.818,CL
22.6,-23.583,499.814,CL
22.8,-23.73,499.811,CL
23.0,-23.877,499.807,CL
23.2,-24.021,499.802,CL
23.4,-24.164,499.798,CL
23.6,-24.306,499.793,CL
23.8,-24.446,499.789,CL
24.0,-24.584,499.784,CL
24.2,-24.721,499.779,CL
24.4,-24.856,499.774,CL
24.6,-24.99,499.769,CL
24.8,-25.122,499.763,CL
25.0,-25.252,499.758,CL
25.2,-25.381,499.752,CL
25.4,-25.508,499.747,CL
25.6,-25.634,499.741,CL
25.8,-25.758,499.735,CL
26.0,-25.88,499.73,CL
26.2,-26.001,499.724,CL
26.4,-26.12,499.718,CL
26.6,-26.237,499.712,CL
26.8,-26.353,499.706,CL
27.0,-26.466,499.699,CL
27.2,-26.579,499.693,CL
27.4,-26.689,499.687,CL
27.6,-26.798,499.681,CL
27.8,-26.905,499.675,CL
28.0,-27.01,499.668,CL
28.2,-27.114,499.662,CL
28.4,-27.216,499.656,CL
28.6,-27.316,499.649,CL
28.8,-27.414,499.643,CL
29.0,-27.511,499.636,CL
29.2,-27.606,499.63,CL
29.4,-27.699,499.624,CL
29.6,-27.79,499.617,CL
29.8,-27.88,499.611,CL
30.0,-27.968,499.604,CL
30.2,-28.054,499.597,CL
30.4,-28.138,499.591,CL
30.6,-28.22,499.584,CL
30.8,-28.301,499.578,CL
