,raw_series,harmonic_1,harmonic_2,harmonic_3,harmonic_4,harmonic_5,harmonic_6,harmonic_7,harmonic_8,harmonic_9,harmonic_10,harmonic_11,harmonic_12,harmonic_13,harmonic_14,harmonic_15,harmonic_16,harmonic_17,harmonic_18,harmonic_19,harmonic_20,harmonic_21,harmonic_22,harmonic_23,harmonic_24,harmonic_25,harmonic_26,harmonic_27,harmonic_69,harmonic_70,harmonic_71,harmonic_72,harmonic_73,harmonic_74,harmonic_75,harmonic_76,harmonic_77,harmonic_78,harmonic_79,harmonic_80,harmonic_81,harmonic_82,harmonic_83,harmonic_84,harmonic_85,harmonic_86,harmonic_87,harmonic_88,harmonic_89,harmonic_90,harmonic_91,harmonic_92,harmonic_93,all_26_harmonics
92,0.839833698,-0.18603389114157734,0.083295756272187,-0.23928390176758568,0.01284803958643746,-0.11252715688115347,-0.0021424740077959797,-0.042073485564136925,0.06779315615768255,-0.062045946770891515,-0.004674831755640477,-0.048306464695034135,-0.06835878303194425,-0.0035494685278964185,-0.07075874648400135,0.025088605023903622,-0.04185029891994171,-0.01741945948646422,-3.893355494743175e-05,-0.013174148301026157,-0.02179688933010949,-0.0416392271723292,-0.022391368065688543,-0.0671852449732413,0.007940907279536735,0.001451411934414014,-0.00960565349355959,0.000337606583949381,0.007940907279536735,-0.0671852449732413,-0.02239136806568856,-0.0416392271723292,-0.02179688933010947,-0.013174148301026157,-3.893355494743175e-05,-0.017419459486464225,-0.04185029891994171,0.025088605023903622,-0.07075874648400135,-0.003549468527896421,-0.06835878303194425,-0.04830646469503412,-0.004674831755640463,-0.062045946770891515,0.06779315615768257,-0.04207348556413693,-0.0021424740077959797,-0.11252715688115349,0.012848039586437474,-0.23928390176758568,0.08329575627218698,-0.1860338911415774,0.0,-1.7443851471985123
91,1.193907727,-0.18798486328799469,0.08003548070335294,-0.2698814553988427,0.03902785271699003,-0.15636221412228019,0.07388545157999223,-0.04995874071206139,0.054400989275886116,-0.09510812147066004,-0.027732117834381072,-0.04560507819999777,-0.06931500545959748,0.014399326375629315,-0.061464910133133946,0.045314810061474246,-0.008629046731229396,-0.05378521850999341,-0.038405555066008325,-0.027532693446815165,0.04239174792622632,-0.03938049471823952,0.05258956716730243,-0.045540394472119404,-0.04411903958456891,0.01100952385121679,-0.022047987699326498,0.020766776913400516,-0.04411903958456891,-0.04554039447211941,0.05258956716730242,-0.03938049471823952,0.042391747926226325,-0.027532693446815165,-0.038405555066008325,-0.05378521850999343,-0.008629046731229394,0.045314810061474246,-0.061464910133133946,0.014399326375629313,-0.06931500545959748,-0.045605078199997755,-0.027732117834381047,-0.09510812147066004,0.05440098927588614,-0.04995874071206138,0.07388545157999221,-0.15636221412228024,0.039027852716990045,-0.2698814553988427,0.08003548070335292,-0.18798486328799469,0.0,-1.6277911336168485
90,1.936394446,-0.18907810361946367,0.07531613721725929,-0.2894300305363464,0.06237468427809986,-0.18252339346371374,0.1379376997968403,-0.04687689830754638,0.025499876776668595,-0.09407659135914563,-0.03860528634790389,-0.01885391734906739,-0.0271527084824823,0.02193638718048069,-0.0011612217602798346,0.022851202290740395,0.03373096168483875,-0.02666509195157764,-0.02663796847074394,-0.002420672494841523,0.04026388428490069,0.02971262558790174,0.03126334017229709,0.0656469378087145,-0.0034717219096953734,-0.0040487065161809565,0.01775132911518376,-0.010748097024340932,-0.0034717219096953773,0.0656469378087145,0.031263340172297115,0.029712625587901737,0.04026388428490068,-0.0024206724948415254,-0.026637968470743945,-0.02666509195157766,0.03373096168483876,0.022851202290740384,-0.001161221760279825,0.02193638718048069,-0.027152708482482316,-0.0188539173490674,-0.038605286347903875,-0.09407659135914564,0.025499876776668613,-0.04687689830754638,0.1379376997968403,-0.18252339346371374,0.06237468427809987,-0.2894300305363464,0.07531613721725927,-0.18907810361946373,0.0,-0.7978852123734698
89,2.134834379,-0.18930862393109768,0.06922376069007066,-0.2971293062171076,0.08119381783232597,-0.18805365383266082,0.1796324019104732,-0.033504493943960066,-0.010670886650672617,-0.05932113225130614,-0.03251720616376642,0.017839830508977646,0.0319003696441253,0.013611884433630714,0.06010616687713634,-0.02113988285246883,0.040367552931731,0.03192942522134057,0.019902542316000166,0.026161597885988142,-0.024851708075933968,0.048379128431442674,-0.047315375024103226,0.047757879760311525,0.04447071924289935,-0.0100543795925049,0.015489721666304497,-0.015378701441173568,0.04447071924289935,0.047757879760311525,-0.047315375024103205,0.048379128431442674,-0.024851708075933978,0.026161597885988142,0.019902542316000166,0.031929425221340575,0.040367552931731,-0.02113988285246883,0.06010616687713636,0.013611884433630718,0.0319003696441253,0.01783983050897763,-0.032517206163766424,-0.05932113225130614,-0.010670886650672607,-0.03350449394396007,0.1796324019104732,-0.18805365383266087,0.08119381783232597,-0.2971293062171076,0.06922376069007066,-0.18930862393109774,0.0,-0.39261374188062215
88,2.223668339,-0.18867537241158688,0.06186941675233702,-0.29266407319012927,0.09411919670986864,-0.17232790081572413,0.192211498114628,-0.012777079260031235,-0.04379953259158967,-0.003300641926642305,-0.012142677856270316,0.04512576864007155,0.07110930726465943,-0.0045549760463360406,0.07149132724202197,-0.04521567671370859,0.00425211869672924,0.05283574678113393,0.04046248345337029,0.01723888966468146,-0.0510899622389142,-0.015060737795938065,-0.03924554481931622,-0.06403372629727548,-0.0010330880249298264,0.006420669735621634,-0.023474039499624632,0.01845751794250291,-0.0010330880249298287,-0.06403372629727548,-0.03924554481931623,-0.01506073779593806,-0.051089962238914176,0.01723888966468146,0.04046248345337029,0.05283574678113395,0.004252118696729238,-0.04521567671370859,0.07149132724202198,-0.004554976046336039,0.07110930726465943,0.04512576864007154,-0.012142677856270328,-0.0033006419266423,-0.04379953259158967,-0.01277707926003123,0.192211498114628,-0.17232790081572416,0.09411919670986864,-0.29266407319012927,0.061869416752337016,-0.18867537241158688,0.0,-0.5890063251592816
87,2.08533492,-0.18718123844237206,0.05338717703326254,-0.2762171386201785,0.10021258430304997,-0.137123642107216,0.17363611344085617,0.010755199451348616,-0.06444155690901857,0.05390303979949824,0.013566741044180956,0.04861469564291677,0.06608355104335217,-0.019428265828402066,0.023545691945252432,-0.026695048515792665,-0.03636660279925762,0.01137690059208856,0.008203123777004079,-0.01639730092173525,0.002595535092729269,-0.05294035653547882,0.040694567938204376,-0.04992087244134227,-0.04436606914329951,0.008539657344657467,-0.0068171881951897455,0.00612585421817532,-0.044366069143299505,-0.04992087244134227,0.040694567938204355,-0.05294035653547882,0.002595535092729288,-0.016397300921735244,0.008203123777004084,0.011376900592088566,-0.03636660279925763,-0.026695048515792654,0.023545691945252422,-0.019428265828402062,0.0660835510433522,0.04861469564291676,0.013566741044180935,0.05390303979949824,-0.06444155690901857,0.010755199451348622,0.17363611344085617,-0.137123642107216,0.10021258430304995,-0.2762171386201785,0.05338717703326251,-0.1871812384423721,0.0,-0.6011580189530552
86,2.40168684,-0.18483303941406004,0.0439316749995528,-0.24846184194098186,0.09903166945342286,-0.08642007289477181,0.1269170275370745,0.03192646345543808,-0.06671221307842519,0.09178393080138018,0.03331560659467366,0.026466730730671066,0.01994945386317903,-0.020253541659895836,-0.04394056025441491,0.016974236876135564,-0.03847058122441375,-0.043510776589477496,-0.03476450749839077,-0.02652650149620594,0.05222064770972399,-0.0009725432649968372,0.046110805194813524,0.06234745114252338,0.005527297078427783,-0.008435289627559446,0.025992664076473323,-0.021528439686569728,0.005527297078427783,0.06234745114252338,0.04611080519481353,-0.0009725432649968372,0.052220647709723976,-0.02652650149620594,-0.03476450749839077,-0.04351077658947751,-0.03847058122441375,0.016974236876135564,-0.04394056025441492,-0.02025354165989584,0.01994945386317903,0.026466730730671077,0.03331560659467365,0.09178393080138018,-0.0667122130784252,0.031926463455438085,0.1269170275370745,-0.08642007289477181,0.09903166945342286,-0.24846184194098186,0.043931674999552785,-0.1848330394140601,0.0,-0.280697432995692
85,2.40168684,-0.18164148962023374,0.033675286946542406,-0.21053448825969462,0.09066217324916337,-0.02594830089114476,0.05962667432477294,0.04608913128136869,-0.04996416943330988,0.09676274998464443,0.03842724645868076,-0.009638427703301242,-0.038594523512638174,-0.006434070590162226,-0.07496045349437687,0.044652569336273616,0.0001684418296353032,-0.0470401017801914,-0.03235091591051259,0.0013723983282514498,0.020153195142920813,0.052645816405187805,-0.032915576789632986,0.052026904501324654,0.04380616313740548,-0.006549659199290475,-0.002785856445263444,0.004666461627860357,0.04380616313740548,0.05202690450132466,-0.032915576789632965,0.05264581640518779,0.020153195142920785,0.0013723983282514464,-0.03235091591051259,-0.047040101780191426,0.00016844182963530557,0.044652569336273616,-0.07496045349437687,-0.0064340705901622264,-0.03859452351263817,-0.009638427703301236,0.03842724645868074,0.09676274998464443,-0.0499641694333099,0.046089131281368684,0.05962667432477294,-0.02594830089114476,0.09066217324916334,-0.21053448825969462,0.033675286946542406,-0.18164148962023374,0.0,-0.26457658813474727
84,2.134834379,-0.17762115137058807,0.022804989532878267,-0.16398782789230343,0.07571162664166983,0.03745645018436948,-0.01732823123370346,0.0501341702066187,-0.018972054184439806,0.06705472451477197,0.026655859524795475,-0.040660774736458904,-0.07313015377857195,0.012037689788760832,-0.04377051624785572,0.030264967418900533,0.038629073357079706,0.004954797009432341,0.01229322143826658,0.02730384302405074,-0.04344136940124468,0.016916621211299974,-0.05166373317806801,-0.06059003641499973,-0.00996478858427307,0.009980442222769732,-0.024963423528946153,0.019189118839147028,-0.009964788584273066,-0.06059003641499973,-0.05166373317806802,0.016916621211299977,-0.04344136940124468,0.027303843024050735,0.012293221438266578,0.004954797009432341,0.03862907335707971,0.030264967418900522,-0.04377051624785571,0.01203768978876083,-0.07313015377857195,-0.040660774736458884,0.026655859524795482,0.06705472451477199,-0.018972054184439823,0.0501341702066187,-0.01732823123370346,0.037456450184369466,0.0757116266416698,-0.16398782789230346,0.02280498953287825,-0.1776211513705881,0.0,-0.5536190688062543
83,2.34548169,-0.1727903685464508,0.011518951146729801,-0.11072748658324974,0.05526527055616708,0.09662743717032703,-0.09147450123231982,0.043173600753236216,0.017428722938299286,0.013309382899255894,0.0031732095639879563,-0.05024071894642131,-0.06217398996806963,0.021805346796915783,0.023744660096761596,-0.012634412259640656,0.036178849294719914,0.051101254819604855,0.040889916670301674,0.014092799067749318,-0.039077433675337954,-0.04752252369935992,0.024199794850966072,-0.05407357291947365,-0.042796746618511634,0.004195138798667254,0.012008645991641302,-0.0142860640855518,-0.042796746618511634,-0.05407357291947365,0.024199794850966044,-0.04752252369935992,-0.03907743367533793,0.014092799067749318,0.040889916670301674,0.051101254819604876,0.036178849294719914,-0.012634412259640656,0.02374466009676161,0.021805346796915783,-0.06217398996806963,-0.0502407189464213,0.0031732095639879694,0.013309382899255894,0.01742872293829928,0.04317360075323622,-0.09147450123231982,0.09662743717032704,0.055265270556167076,-0.11072748658324974,0.011518951146729794,-0.17279036854645083,0.0,-0.46008739494286865
