X,Y,Z,Label
0.0,0.0,500.0,CL
0.2,-0.24,499.997,CL
0.4,-0.48,499.993,CL
0.6,-0.72,499.99,CL
0.8,-0.96,499.987,CL
1.0,-1.2,499.984,CL
1.2,-1.44,499.98,CL
1.4,-1.68,499.977,CL
1.6,-1.92,499.974,CL
1.8,-2.159,499.971,CL
2.0,-2.399,499.968,CL
2.2,-2.638,499.965,CL
2.4,-2.877,499.962,CL
2.6,-3.116,499.959,CL
2.8,-3.355,499.956,CL
3.0,-3.593,499.953,CL
3.2,-3.831,499.95,CL
3.4,-4.069,499.947,CL
3.6,-4.307,499.944,CL
3.8,-4.545,499.941,CL
4.0,-4.782,499.939,CL
4.2,-5.019,499.936,CL
4.4,-5.255,499.933,CL
4.6,-5.492,499.93,CL
4.8,-5.728,499.927,CL
5.0,-5.963,499.925,CL
5.2,-6.198,499.923,CL
5.4,-6.433,499.921,CL
5.6,-6.667,499.918,CL
5.8,-6.901,499.916,CL
6.0,-7.135,499.913,CL
6.2,-7.368,499.911,CL
6.4,-7.6,499.908,CL
6.6,-7.832,499.906,CL
6.8,-8.064,499.903,CL
7.0,-8.295,499.901,CL
7.2,-8.525,499.899,CL
7.4,-8.755,499.897,CL
7.6,-8.985,499.894,CL
7.8,-9.213,499.892,CL
8.0,-9.442,499.89,CL
8.2,-9.669,499.888,CL
8.4,-9.896,499.886,CL
8.6,-10.123,499.884,CL
8.8,-10.348,499.882,CL
9.0,-10.573,499.88,CL
9.2,-10.798,499.878,CL
9.4,-11.021,499.876,CL
9.6,-11.244,499.874,CL
9.8,-11.467,499.872,CL
10.0,-11.688,499.871,CL
10.2,-11.909,499.869,CL
10.4,-12.129,499.867,CL
10.6,-12.348,499.866,CL
10.8,-12.567,499.864,CL
11.0,-12.784,499.862,CL
11.2,-13.001,499.861,CL
11.4,-13.217,499.859,CL
11.6,-13.432,499.858,CL
11.8,-13.646,499.857,CL
12.0,-13.86,499.855,CL
12.2,-14.072,499.854,CL
12.4,-14.284,499.853,CL
12.6,-14.495,499.851,CL
12.8,-14.704,499.85,CL
13.0,-14.913,499.849,CL
13.2,-15.121,499.848,CL
13.4,-15.328,499.847,CL
13.6,-15.534,499.846,CL
13.8,-15.739,499.845,CL
14.0,-15.943,499.844,CL
14.2,-16.146,499.844,CL
14.4,-16.348,499.843,CL
14.6,-16.548,499.842,CL
14.8,-16.748,499.842,CL
15.0,-16.947,499.841,CL
15.2,-17.144,499.841,CL
15.4,-17.341,499.84,CL
15.6,-17.536,499.84,CL
15.8,-17.731,499.839,CL
16.0,-17.924,499.839,CL
16.2,-18.116,499.839,CL
16.4,-18.306,499.839,CL
16.6,-18.496,499.839,CL
16.8,-18.685,499.839,CL
17.0,-18.872,499.839,CL
17.2,-19.058,499.839,CL
17.4,-19.243,499.839,CL
17.6,-19.426,499.84,CL
17.8,-19.609,499.84,CL
18.0,-19.79,499.84,CL
18.2,-19.97,499.841,CL
18.4,-20.148,499.841,CL
18.6,-20.325,499.842,CL
18.8,-20.501,499.843,CL
19.0,-20.676,499.843,CL
19.2,-20.849,499.844,CL
19.4,-21.021,499.845,CL
19.6,-21.192,499.846,CL
19.8,-21.361,499.847,CL
20.0,-21.529,499.849,CL
20.2,-21.696,499.85,CL
20.4,-21.861,499.852,CL
20.6,-22.025,499.853,CL
20.8,-22.187,499.854,CL
21.0,-22.348,499.856,CL
21.2,-22.507,499.857,CL
21.4,-22.665,499.859,CL
21.6,-22.822,499.861,CL
21.8,-22.977,499.863,CL
22.0,-23.131,499.866,CL
22.2,-23.283,499.867,CL
