X,Y,Z,Label
0.0,0.0,499.798,CL
0.2,0.038,499.797,CL
0.4,0.077,499.796,CL
0.6,0.115,499.794,CL
0.8,0.153,499.793,CL
1.0,0.191,499.792,CL
1.2,0.23,499.791,CL
1.4,0.268,499.79,CL
1.6,0.306,499.789,CL
1.8,0.345,499.788,CL
2.0,0.383,499.787,CL
2.2,0.421,499.786,CL
2.4,0.459,499.785,CL
2.6,0.498,499.785,CL
2.8,0.536,499.784,CL
3.0,0.574,499.783,CL
3.2,0.612,499.783,CL
3.4,0.65,499.782,CL
3.6,0.688,499.782,CL
3.8,0.727,499.781,CL
4.0,0.765,499.781,CL
4.2,0.803,499.78,CL
4.4,0.841,499.78,CL
4.6,0.879,499.779,CL
4.8,0.917,499.779,CL
5.0,0.955,499.779,CL
5.2,0.993,499.778,CL
5.4,1.031,499.781,CL
5.6,1.069,499.781,CL
5.8,1.107,499.777,CL
6.0,1.145,499.777,CL
6.2,1.182,499.777,CL
6.4,1.22,499.776,CL
6.6,1.258,499.776,CL
6.8,1.296,499.776,CL
7.0,1.333,499.775,CL
7.2,1.371,499.775,CL
7.4,1.409,499.778,CL
7.6,1.446,499.774,CL
7.8,1.484,499.774,CL
8.0,1.521,499.773,CL
8.2,1.559,499.773,CL
8.4,1.596,499.773,CL
8.6,1.634,499.772,CL
8.8,1.671,499.771,CL
9.0,1.708,499.771,CL
9.2,1.746,499.77,CL
9.4,1.783,499.77,CL
9.6,1.82,499.769,CL
9.8,1.857,499.768,CL
10.0,1.894,499.768,CL
10.2,1.931,499.767,CL
10.4,1.968,499.766,CL
10.6,2.005,499.765,CL
10.8,2.042,499.764,CL
11.0,2.079,499.763,CL
11.2,2.116,499.762,CL
11.4,2.152,499.761,CL
11.6,2.189,499.759,CL
11.8,2.226,499.758,CL
12.0,2.262,499.757,CL
12.2,2.299,499.755,CL
12.4,2.335,499.754,CL
12.6,2.371,499.752,CL
12.8,2.408,499.751,CL
13.0,2.444,499.749,CL
13.2,2.48,499.747,CL
13.4,2.516,499.745,CL
13.6,2.552,499.744,CL
13.8,2.588,499.742,CL
