X,Y,Z,Label
0.0,0.0,499.706,CL
0.2,-0.24,499.695,CL
0.4,-0.48,499.685,CL
0.6,-0.72,499.675,CL
0.8,-0.96,499.665,CL
1.0,-1.2,499.656,CL
1.2,-1.44,499.648,CL
1.4,-1.68,499.64,CL
1.6,-1.92,499.632,CL
1.8,-2.159,499.625,CL
2.0,-2.399,499.619,CL
2.2,-2.638,499.612,CL
2.4,-2.877,499.633,CL
2.6,-3.116,499.601,CL
2.8,-3.355,499.596,CL
3.0,-3.593,499.592,CL
3.2,-3.831,499.588,CL
3.4,-4.069,499.585,CL
3.6,-4.307,499.581,CL
3.8,-4.545,499.579,CL
4.0,-4.782,499.577,CL
4.2,-5.019,499.575,CL
4.4,-5.255,499.574,CL
4.6,-5.492,499.573,CL
4.8,-5.728,499.572,CL
5.0,-5.963,499.572,CL
5.2,-6.198,499.572,CL
5.4,-6.433,499.573,CL
5.6,-6.667,499.574,CL
5.8,-6.901,499.575,CL
6.0,-7.135,499.577,CL
6.2,-7.368,499.579,CL
6.4,-7.6,499.581,CL
6.6,-7.832,499.584,CL
6.8,-8.064,499.587,CL
7.0,-8.295,499.591,CL
7.2,-8.525,499.594,CL
7.4,-8.755,499.598,CL
7.6,-8.985,499.603,CL
7.8,-9.213,499.607,CL
8.0,-9.442,499.612,CL
8.2,-9.669,499.618,CL
8.4,-9.896,499.623,CL
8.6,-10.123,499.629,CL
8.8,-10.348,499.635,CL
9.0,-10.573,499.641,CL
9.2,-10.798,499.648,CL
9.4,-11.021,499.655,CL
9.6,-11.244,499.661,CL
9.8,-11.467,499.669,CL
10.0,-11.688,499.676,CL
10.2,-11.909,499.683,CL
10.4,-12.129,499.691,CL
10.6,-12.348,499.699,CL
10.8,-12.567,499.707,CL
11.0,-12.784,499.715,CL
11.2,-13.001,499.723,CL
11.4,-13.217,499.732,CL
11.6,-13.432,499.74,CL
11.8,-13.646,499.749,CL
12.0,-13.86,499.757,CL
12.2,-14.072,499.766,CL
12.4,-14.284,499.774,CL
12.6,-14.495,499.783,CL
12.8,-14.704,499.792,CL
13.0,-14.913,499.8,CL
13.2,-15.121,499.809,CL
13.4,-15.328,499.818,CL
13.6,-15.534,499.826,CL
13.8,-15.739,499.835,CL
14.0,-15.943,499.843,CL
14.2,-16.146,499.851,CL
14.4,-16.348,499.86,CL
14.6,-16.548,499.868,CL
14.8,-16.748,499.876,CL
15.0,-16.947,499.884,CL
15.2,-17.144,499.892,CL
15.4,-17.341,499.899,CL
15.6,-17.536,499.907,CL
15.8,-17.731,499.914,CL
16.0,-17.924,499.921,CL
16.2,-18.116,499.928,CL
16.4,-18.306,499.934,CL
16.6,-18.496,499.941,CL
16.8,-18.685,499.947,CL
17.0,-18.872,499.953,CL
17.2,-19.058,499.959,CL
17.4,-19.243,499.965,CL
17.6,-19.426,499.97,CL
17.8,-19.609,499.976,CL
18.0,-19.79,499.981,CL
18.2,-19.97,499.986,CL
18.4,-20.148,499.99,CL
18.6,-20.325,499.995,CL
18.8,-20.501,499.999,CL
19.0,-20.676,500.004,CL
19.2,-20.849,500.008,CL
19.4,-21.021,500.011,CL
19.6,-21.192,500.015,CL
19.8,-21.361,500.018,CL
20.0,-21.529,500.022,CL
20.2,-21.696,500.024,CL
20.4,-21.861,500.027,CL
20.6,-22.025,500.03,CL
20.8,-22.187,500.033,CL
21.0,-22.348,500.036,CL
21.2,-22.507,500.038,CL
21.4,-22.665,500.04,CL
21.6,-22.822,500.042,CL
21.8,-22.977,500.045,CL
22.0,-23.131,500.047,CL
22.2,-23.283,500.049,CL
22.4,-23.434,500.05,CL
22.6,-23.583,500.052,CL
22.8,-23.73,500.054,CL
23.0,-23.877,500.056,CL
23.2,-24.021,500.057,CL
23.4,-24.164,500.059,CL
23.6,-24.306,500.06,CL
23.8,-24.446,500.062,CL
24.0,-24.584,500.064,CL
24.2,-24.721,500.065,CL
24.4,-24.856,500.067,CL
24.6,-24.99,500.068,CL
24.8,-25.122,500.07,CL
25.0,-25.252,500.072,CL
25.2,-25.381,500.074,CL
25.4,-25.508,500.075,CL
25.6,-25.634,500.077,CL
25.8,-25.758,500.079,CL
26.0,-25.88,500.081,CL
26.2,-26.001,500.083,CL
26.4,-26.12,500.085,CL
26.6,-26.237,500.088,CL
26.8,-26.353,500.09,CL
27.0,-26.466,500.093,CL
27.2,-26.579,500.095,CL
27.4,-26.689,500.098,CL
27.6,-26.798,500.101,CL
27.8,-26.905,500.103,CL
28.0,-27.01,500.106,CL
28.2,-27.114,500.11,CL
28.4,-27.216,500.113,CL
28.6,-27.316,500.116,CL
28.8,-27.414,500.12,CL
29.0,-27.511,500.123,CL
29.2,-27.606,500.127,CL
29.4,-27.699,500.131,CL
29.6,-27.79,500.135,CL
29.8,-27.88,500.138,CL
30.0,-27.968,500.142,CL
30.2,-28.054,500.147,CL
30.4,-28.138,500.142,CL
30.6,-28.22,500.137,CL
30.8,-28.301,500.132,CL
