,X,Y,Z,Label
0,100.0,100.0,599.771,CL
1,100.2,100.049,599.721,CL
2,100.4,100.098,599.6700000000001,CL
3,100.6,100.147,599.62,CL
4,100.8,100.196,599.5699999999999,CL
5,101.0,100.245,599.5219999999999,CL
6,101.2,100.294,599.477,CL
7,101.4,100.343,599.435,CL
8,101.6,100.392,599.398,CL
9,101.8,100.441,599.366,CL
10,102.0,100.49,599.341,CL
11,102.2,100.539,599.3219999999999,CL
12,102.4,100.588,599.3109999999999,CL
13,102.6,100.637,599.308,CL
14,102.8,100.686,599.3109999999999,CL
15,103.0,100.734,599.3199999999999,CL
16,103.2,100.783,599.335,CL
17,103.4,100.832,599.3530000000001,CL
18,103.6,100.88,599.374,CL
19,103.8,100.929,599.396,CL
20,104.0,100.977,599.4169999999999,CL
21,104.2,101.026,599.4380000000001,CL
22,104.4,101.074,599.4549999999999,CL
23,104.6,101.122,599.469,CL
24,104.8,101.171,599.479,CL
25,105.0,101.219,599.485,CL
26,105.2,101.267,599.486,CL
27,105.4,101.315,599.482,CL
28,105.6,101.362,599.4739999999999,CL
29,105.8,101.41,599.462,CL
30,106.0,101.458,599.4469999999999,CL
31,106.2,101.505,599.4280000000001,CL
32,106.4,101.553,599.4069999999999,CL
33,106.6,101.6,599.384,CL
34,106.8,101.648,599.36,CL
35,107.0,101.695,599.336,CL
36,107.2,101.742,599.3119999999999,CL
37,107.4,101.789,599.29,CL
38,107.6,101.835,599.269,CL
39,107.8,101.882,599.252,CL
40,108.0,101.929,599.237,CL
41,108.2,101.975,599.227,CL
42,108.4,102.021,599.219,CL
43,108.6,102.067,599.2149999999999,CL
44,108.8,102.114,599.2139999999999,CL
45,109.0,102.159,599.2139999999999,CL
46,109.2,102.205,599.216,CL
47,109.4,102.251,599.2180000000001,CL
48,109.6,102.296,599.2180000000001,CL
49,109.8,102.341,599.217,CL
50,110.0,102.386,599.212,CL
51,110.2,102.431,599.204,CL
52,110.4,102.476,599.191,CL
53,110.6,102.521,599.175,CL
54,110.8,102.565,599.154,CL
55,111.0,102.61,599.131,CL
56,111.2,102.654,599.107,CL
57,111.4,102.698,599.0809999999999,CL
58,111.6,102.741,599.0640000000001,CL
59,111.8,102.785,599.034,CL
60,112.0,102.828,599.013,CL
61,112.2,102.872,598.996,CL
62,112.4,102.915,598.983,CL
63,112.6,102.957,598.973,CL
64,112.8,103.0,598.973,CL
65,113.0,103.042,598.961,CL
66,113.2,103.085,598.9559999999999,CL
67,113.4,103.127,598.951,CL
68,113.6,103.168,598.951,CL
69,113.8,103.21,598.935,CL
70,114.0,103.251,598.923,CL
71,114.2,103.292,598.906,CL
72,114.4,103.333,598.887,CL
73,114.6,103.374,598.865,CL
74,114.8,103.415,598.8399999999999,CL
75,115.0,103.455,598.816,CL
76,115.2,103.495,598.798,CL
77,115.4,103.535,598.77,CL
78,115.6,103.574,598.751,CL
79,115.8,103.614,598.742,CL
80,116.0,103.653,598.725,CL
81,116.2,103.691,598.723,CL
82,116.4,103.73,598.712,CL
83,116.6,103.768,598.707,CL
84,116.8,103.806,598.702,CL
85,117.0,103.844,598.694,CL
86,117.2,103.882,598.6859999999999,CL
87,117.4,103.919,598.6610000000001,CL
88,117.6,103.956,598.632,CL
89,117.8,103.993,598.595,CL
90,118.0,104.029,598.5530000000001,CL
91,118.2,104.066,598.49,CL
92,118.4,104.102,598.432,CL
93,118.6,104.137,598.354,CL
94,118.8,104.173,598.28,CL
95,119.0,104.208,598.204,CL
96,119.2,104.243,598.13,CL
97,119.4,104.277,598.06,CL
98,119.6,104.311,597.996,CL
99,119.8,104.345,597.9390000000001,CL
100,120.0,104.379,597.89,CL
101,120.2,104.413,597.85,CL
102,120.4,104.446,597.816,CL
103,120.6,104.479,597.787,CL
104,120.8,104.511,597.762,CL
105,121.0,104.543,597.737,CL
106,121.2,104.575,597.71,CL
107,121.4,104.607,597.6800000000001,CL
108,121.6,104.638,597.643,CL
109,121.8,104.669,597.6,CL
110,122.0,104.7,597.549,CL
111,122.2,104.73,597.491,CL
112,122.4,104.76,597.4259999999999,CL
113,122.6,104.79,597.358,CL
114,122.8,104.819,597.287,CL
115,123.0,104.848,597.217,CL
116,123.2,104.877,597.1510000000001,CL
117,123.4,104.906,597.0899999999999,CL
118,123.6,104.934,597.038,CL
119,123.8,104.961,596.995,CL
120,124.0,104.989,596.963,CL
121,124.2,105.016,596.942,CL
122,124.4,105.043,596.931,CL
123,124.6,105.069,596.9290000000001,CL
124,124.8,105.095,596.934,CL
125,125.0,105.121,596.9449999999999,CL
126,125.2,105.146,596.96,CL
127,125.4,105.171,596.976,CL
128,125.6,105.196,596.991,CL
129,125.8,105.221,597.004,CL
130,126.0,105.245,597.014,CL
131,126.2,105.268,597.0219999999999,CL
132,126.4,105.292,597.0260000000001,CL
133,126.6,105.314,597.027,CL
134,126.8,105.337,597.027,CL
135,127.0,105.359,597.027,CL
136,127.2,105.381,597.027,CL
137,127.4,105.403,597.029,CL
138,127.6,105.424,597.033,CL
139,127.8,105.445,597.04,CL
140,128.0,105.465,597.05,CL
141,128.2,105.485,597.0609999999999,CL
142,128.4,105.505,597.0730000000001,CL
143,128.6,105.524,597.085,CL
144,128.8,105.543,597.0930000000001,CL
145,129.0,105.562,597.095,CL
146,129.2,105.58,597.091,CL
147,129.4,105.598,597.076,CL
148,129.6,105.615,597.0509999999999,CL
149,129.8,105.633,597.013,CL
150,130.0,105.649,596.962,CL
151,130.2,105.666,596.898,CL
152,130.4,105.682,596.8209999999999,CL
153,130.6,105.697,596.733,CL
154,130.8,105.712,596.636,CL
155,131.0,105.727,596.5319999999999,CL
156,131.2,105.742,596.425,CL
157,131.4,105.756,596.317,CL
158,131.6,105.769,596.212,CL
159,131.8,105.783,596.114,CL
160,132.0,105.796,596.024,CL
161,132.2,105.80799999999999,595.9469999999999,CL
162,132.4,105.82,595.883,CL
163,132.6,105.832,595.835,CL
164,132.8,105.843,595.8030000000001,CL
165,133.0,105.854,595.788,CL
166,133.2,105.865,595.788,CL
167,133.4,105.875,595.8030000000001,CL
168,133.6,105.885,595.8299999999999,CL
